BREED,HEIGHT,WEIGHT,LIFE EXPECTANCY,CHARACTERISTICS,GROOMING FREQUENCY,SHEDDING LEVEL,ENERGY LEVEL,TRAINABILITY,TEMPERAMENT/DEMEANOR,description
Pudelpointer,22-26 inches,45-70 pounds,~14 years,"Friendly, Smart, Willing to Please",Occasional Bath/Brush,Seasonal,Regular Exercise,,,"Pudelpointerは犬種です。

体高は22〜66cmです。
体重は45〜31.8kgです。
寿命は~14 年です。

特徴は友好的です、頭がいいです、人に喜んでもらいたい性格です。

適度な運動が必要です。
不明
不明
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Pug,10-13 inches,14-18 pounds,13-15 years,"Charming, Mischievous, Loving",Weekly Brushing,Regularly,Regular Exercise,Agreeable,Friendly,"Pugは犬種です。

体高は10〜33cmです。
体重は14〜8.2kgです。
寿命は13〜15 年です。

特徴は魅力的です、いたずら好きです、愛情深いです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Puli,"17 inches (male), 16 inches (female)",25-35 pounds,10-15 years,"Loyal, Smart, Home-Loving",Specialty/Professional,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"Puliは犬種です。

体高は43.2cm (オス)、 40.6cm (メス)です。
体重は25〜15.9kgです。
寿命は10〜15 年です。

特徴は忠実です、頭がいいです、家庭を愛します。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
専門的な手入れやプロによるトリミングが必要です。
抜け毛は少ないです。"
Pumi,"16-18.5 inches (male), 15-17.5 inches (female)","27-29 pounds (male), 22-24 pounds (female)",12-13 years,"Energetic, Lively, Ready to Work",Occasional Bath/Brush,Infrequent,Energetic,Easy Training,Alert/Responsive,"Pumiは犬種です。

体高は16〜47cm (オス)、 15〜44.5cm (メス)です。
体重は27〜13.2kg (オス)、 22〜10.9kg (メス)です。
寿命は12〜13 年です。

特徴はエネルギッシュです、陽気です、作業意欲が高いです。

多くの運動を必要とします。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Pyrenean Mastiff,"30-31 inches (male), 25-30 inches (female)",120-240 pounds,10-13 years,"Gentle, Brave, Noble",2-3 Times a Week Brushing,Seasonal,Calm,,,"Pyrenean Mastiffは犬種です。

体高は30〜78.7cm (オス)、 25〜76.2cm (メス)です。
体重は120〜108.9kgです。
寿命は10〜13 年です。

特徴は穏やかで優しいです、勇敢です、高貴です。

落ち着いています。
不明
不明
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Pyrenean Shepherd,"15.5-18.5 inches (male rough-faced), 15-18 inches (female rough-faced), 15.5-21 inches (male smooth-faced), 15.5-20.5 inches (female smooth-faced)",15-30 pounds,Late teens,"Affectionate, Active, Enthusiastic",Weekly Brushing,Seasonal,Energetic,Agreeable,Reserved with Strangers,"Pyrenean Shepherdは犬種です。

体高は15.5〜47cm (オス ラフコート)、 15〜45.7cm (メス ラフコート)、 15.5〜53.3cm (オス スムースコート)、 15.5〜52.1cm (メス スムースコート)です。
体重は15〜13.6kgです。
寿命は10代後半です。

特徴は愛情深いです、活動的です、熱意があります。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Rafeiro do Alentejo,25-29 inches,77-132 pounds,12-14 years,"Confident, Calm, Powerful",Weekly Brushing,Seasonal,Calm,,,"Rafeiro do Alentejoは犬種です。

体高は25〜73.7cmです。
体重は77〜59.9kgです。
寿命は12〜14 年です。

特徴は自信に満ちています、冷静です、力強いです。

落ち着いています。
不明
不明
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Rat Terrier,"10-13 inches (miniature), 13-18 inches (standard)",10-25 pounds,12-18 years,"Friendly, Inquisitive, Lovable",Weekly Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"Rat Terrierは犬種です。

体高は10〜33cm （ミニチュア）、 13〜45.7cm （スタンダード）です。
体重は10〜11.3kgです。
寿命は12〜18 年です。

特徴は友好的です、探求心旺盛です、愛らしいです。

適度な運動が必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Redbone Coonhound,"22-27 inches (male), 21-26 inches (female)",45-70 pounds,12-15 years,"Even-Tempered, Amiable, Eager to Please",Weekly Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"Redbone Coonhoundは犬種です。

体高は22〜68.6cm (オス)、 21〜66cm (メス)です。
体重は45〜31.8kgです。
寿命は12〜15 年です。

特徴は穏やかです、愛想が良いです、飼い主の期待に応えようとします。

適度な運動が必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Rhodesian Ridgeback,"25-27 inches (male), 24-26 inches (female)","85 pounds (male), 70 pounds (female)",~10 years,"Affectionate, Dignified, Even-Tempered",Weekly Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"Rhodesian Ridgebackは犬種です。

体高は25〜68.6cm (オス)、 24〜66cm (メス)です。
体重は38.6kg (オス)、 31.8kg (メス)です。
寿命は~10 年です。

特徴は愛情深いです、威厳があります、穏やかです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Romanian Mioritic Shepherd Dog,"27-29 inches (males), 22.5-28 inches (females)",100-130 lbs,12-14 years,"Loyal, Independent, Confident Guardian",Weekly Brushing,Occasional,Regular Exercise,Independent,Aloof/Wary,"Romanian Mioritic Shepherd Dogは犬種です。

体高は27〜73.7cm (オス)、 22.5〜71.1cm (メス)です。
体重は100〜59kgです。
寿命は12〜14 年です。

特徴は忠実です、独立心が強いです、自信に満ちた守護者です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
よそよそしく用心深いです。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Rottweiler,"24-27 inches (male), 22-25 inches (female)","95-135 pounds (male), 80-100 pounds (female)",9-10 years,"Loyal, Loving, Confident Guardian",Weekly Brushing,Seasonal,Regular Exercise,Agreeable,Reserved with Strangers,"Rottweilerは犬種です。

体高は24〜68.6cm (オス)、 22〜63.5cm (メス)です。
体重は95〜61.2kg (オス)、 80〜45.4kg (メス)です。
寿命は9〜10 年です。

特徴は忠実です、愛情深いです、自信に満ちた守護者です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Russell Terrier,10-12 inches,9-15 pounds,12-14 years,"Alert, Inquisitive, Lively",Weekly Brushing,Occasional,Needs Lots of Activity,Agreeable,Friendly,"Russell Terrierは犬種です。

体高は10〜30.5cmです。
体重は9〜6.8kgです。
寿命は12〜14 年です。

特徴は警戒心が強いです、探求心旺盛です、陽気です。

非常に活発で、多くの運動や遊びが必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Russian Toy,8-11 inches,Up to 6.5 pounds,12-14+ years,"Loyal, Smart, Charming",Weekly Brushing,Infrequent,Regular Exercise,Agreeable,Friendly,"Russian Toyは犬種です。

体高は8〜27.9cmです。
体重は最大 2.9kgです。
寿命は12〜14+ 年です。

特徴は忠実です、頭がいいです、魅力的です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛は少ないです。"
Jagdterrier,13-16 inches,17-22 pounds,10-12 years,"Courageous, Intelligent, Hardworking",,,DOUBLE CHECK,,,"Jagdterrierは犬種です。

体高は13〜40.6cmです。
体重は17〜10kgです。
寿命は10〜12 年です。

特徴は勇敢です、知的です、勤勉です。

不明
不明
不明
不明
不明"
Saint Bernard,"28-30 inches (males), 26-28 inches (female)","140-180 pounds (male), 120-140 pounds (female)",8-10 years,"Playful, Charming, Inquisitive",Weekly Brushing,Seasonal,Regular Exercise,Agreeable,Friendly,"Saint Bernardは犬種です。

体高は28〜76.2cm (オス)、 26〜71.1cm (メス)です。
体重は140〜81.6kg (オス)、 120〜63.5kg (メス)です。
寿命は8〜10 年です。

特徴は遊び好きです、魅力的です、探求心旺盛です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Saluki,"23-28 inches (male), considerably smaller (female)",40-65 pounds,10-17 years,"Gentle, Dignified, Independent-Minded",Occasional Bath/Brush,Occasional,Energetic,Independent,Reserved with Strangers,"Salukiは犬種です。

体高は23〜71.1cm (オス)、 かなり小さめ (メス)です。
体重は40〜29.5kgです。
寿命は10〜17 年です。

特徴は穏やかで優しいです、威厳があります、独立心が強いです。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Samoyed,"21-23.5 inches (male), 19-21 inches (female)","45-65 pounds (male), 35-50 pounds (female)",12-14 years,"Adaptable, Friendly, Gentle",2-3 Times a Week Brushing,Seasonal,Energetic,Independent,Friendly,"Samoyedは犬種です。

体高は21〜59.7cm (オス)、 19〜53.3cm (メス)です。
体重は45〜29.5kg (オス)、 35〜22.7kg (メス)です。
寿命は12〜14 年です。

特徴は適応力があります、友好的です、穏やかで優しいです。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Schapendoes,16-20 inches,26-55 pounds,12-15 years,"Friendly, Watchful, Lively",Weekly Brushing,Seasonal,Regular Exercise,Easy Training,Alert/Responsive,"Schapendoesは犬種です。

体高は16〜50.8cmです。
体重は26〜24.9kgです。
寿命は12〜15 年です。

特徴は友好的です、用心深いです、陽気です。

適度な運動が必要です。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Schipperke,"11-13 inches (male), 10-12 inches (female)",10-16 pounds,12-14 years,"Confident, Alert, Curious",Weekly Brushing,Seasonal,Energetic,Independent,Alert/Responsive,"Schipperkeは犬種です。

体高は11〜33cm (オス)、 10〜30.5cm (メス)です。
体重は10〜7.3kgです。
寿命は12〜14 年です。

特徴は自信に満ちています、警戒心が強いです、好奇心旺盛です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Scottish Deerhound,"30-32 inches (male), 28 inches & up (female)","85-110 pounds (male), 75-95 pounds (female)",8-11 years,"Gentle, Dignified, Polite",Occasional Bath/Brush,Seasonal,Regular Exercise,Independent,Alert/Responsive,"Scottish Deerhoundは犬種です。

体高は30〜81.3cm (オス)、 71.1cm 以上 (メス)です。
体重は85〜49.9kg (オス)、 75〜43.1kg (メス)です。
寿命は8〜11 年です。

特徴は穏やかで優しいです、威厳があります、礼儀正しいです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Scottish Terrier,10 inches,"19-22 pounds (male), 18-21 pounds (female)",12 years,"Confident, Independent, Spirited",2-3 Times a Week Brushing,Occasional,Regular Exercise,Independent,Alert/Responsive,"Scottish Terrierは犬種です。

体高は25.4cmです。
体重は19〜10kg (オス)、 18〜9.5kg (メス)です。
寿命は12 年です。

特徴は自信に満ちています、独立心が強いです、活発です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
抜け毛はややあります。"
Sealyham Terrier,10.5 inches,"23-24 pounds (male), slightly less (females)",12-14 years,"Alert, Outgoing, Sense Of Humor",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"Sealyham Terrierは犬種です。

体高は26.7cmです。
体重は23〜10.9kg (オス)、 わずかに少なめ (メス)です。
寿命は12〜14 年です。

特徴は警戒心が強いです、社交的です、ユーモアのセンスがあります。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Segugio Italiano,19-23 inches,40-60 pounds,11-13 years,"Friendly, Intelligent, Eager to Please",Weekly Brushing,Seasonal,DOUBLE CHECK,Eager to Please,,"Segugio Italianoは犬種です。

体高は19〜58.4cmです。
体重は40〜27.2kgです。
寿命は11〜13 年です。

特徴は友好的です、知的です、飼い主の期待に応えようとします。

不明
飼い主の期待に応えようとする性格です。
不明
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Shetland Sheepdog,13-16 inches,15-25 pounds,12-14 years,"Playful, Energetic, Bright",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,"Shetland Sheepdogは犬種です。

体高は13〜40.6cmです。
体重は15〜11.3kgです。
寿命は12〜14 年です。

特徴は遊び好きです、エネルギッシュです、明るいです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Shiba Inu,"14.5-16.5 inches (male), 13.5-15.5 inches (female)","23 pounds (male), 17 pounds (female)",13-16 years,"Alert, Active, Attentive",Weekly Brushing,Seasonal,Regular Exercise,Independent,Reserved with Strangers,"Shiba Inuは犬種です。

体高は14.5〜41.9cm (オス)、 13.5〜39.4cm (メス)です。
体重は10.4kg (オス)、 7.7kg (メス)です。
寿命は13〜16 年です。

特徴は警戒心が強いです、活動的です、注意深いです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Shih Tzu,9-10.5 inches,9-16 pounds,10-18 years,"Affectionate, Playful, Outgoing",Daily Brushing,Infrequent,Regular Exercise,Agreeable,Friendly,"Shih Tzuは犬種です。

体高は9〜26.7cmです。
体重は9〜7.3kgです。
寿命は10〜18 年です。

特徴は愛情深いです、遊び好きです、社交的です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
毎日のブラッシングが必要です。
抜け毛は少ないです。"
Shikoku,17-22 inches,35-55 pounds,10-12 years,"Energetic, Alert, Enthusiastic",Weekly Brushing,,Regular Exercise,,,"Shikokuは犬種です。

体高は17〜55.9cmです。
体重は35〜24.9kgです。
寿命は10〜12 年です。

特徴はエネルギッシュです、警戒心が強いです、熱意があります。

適度な運動が必要です。
不明
不明
週に1回程度のブラッシングが必要です。
不明"
Siberian Husky,"21-23.5 inches (male), 20-22 inches (female)","45-60 pounds (male), 35-50 pounds (female)",12-14 years,"Loyal, Mischievous, Outgoing",Weekly Brushing,Seasonal,Energetic,Independent,Friendly,"Siberian Huskyは犬種です。

体高は21〜59.7cm (オス)、 20〜55.9cm (メス)です。
体重は45〜27.2kg (オス)、 35〜22.7kg (メス)です。
寿命は12〜14 年です。

特徴は忠実です、いたずら好きです、社交的です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Silky Terrier,9-10 inches,around 10 pounds,13-15 years,"Friendly, Quick, Keenly Alert",2-3 Times a Week Brushing,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"Silky Terrierは犬種です。

体高は9〜25.4cmです。
体重はaround 4.5kgです。
寿命は13〜15 年です。

特徴は友好的です、素早いです、鋭敏な警戒心を持っています。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
抜け毛はややあります。"
Skye Terrier,"10 inches (male), 9.5 inches (female)","35-45 pounds (male), slightly lighter (female)",12-14 years,"Courageous, Good-Tempered, Canny",Daily Brushing,Seasonal,Regular Exercise,Independent,Reserved with Strangers,"Skye Terrierは犬種です。

体高は25.4cm (オス)、 24.1cm (メス)です。
体重は35〜20.4kg (オス)、 わずかに軽め (メス)です。
寿命は12〜14 年です。

特徴は勇敢です、温厚です、賢いです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
毎日のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Sloughi,"26-29 inches (male), 24-27 inches (female)",45 - 70 pounds,12 -14 years,"Reserved, Graceful, Noble",Weekly Brushing,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"Sloughiは犬種です。

体高は26〜73.7cm (オス)、 24〜68.6cm (メス)です。
体重は45 - 31.8kgです。
寿命は12 -14 年です。

特徴は内気です、優雅です、高貴です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
抜け毛は少ないです。"
Slovakian Wirehaired Pointer,"24.5-26.5 inches (male), 22.5-26 inches (female)",50-65 pounds,12-15 years,"Smart, Energetic, Outgoing",Occasional Bath/Brush,Occasional,Energetic,Independent,Outgoing,"Slovakian Wirehaired Pointerは犬種です。

体高は24.5〜67.3cm (オス)、 22.5〜66cm (メス)です。
体重は50〜29.5kgです。
寿命は12〜15 年です。

特徴は頭がいいです、エネルギッシュです、社交的です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
社交的な性格です。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Slovensky Cuvac,23-27.5 inches,68-97 pounds,11-13 years,"Courageous, Alert, Faithful",Weekly Brushing,Regularly,Calm,,,"Slovensky Cuvacは犬種です。

体高は23〜69.8cmです。
体重は68〜44kgです。
寿命は11〜13 年です。

特徴は勇敢です、警戒心が強いです、誠実です。

落ち着いています。
不明
不明
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Slovensky Kopov,16-20 inches,33-44 pounds,12-13 years,"Courageous, Alert, Determined",Occasional Bath/Brush,Seasonal,Regular Exercise,,,"Slovensky Kopovは犬種です。

体高は16〜50.8cmです。
体重は33〜20kgです。
寿命は12〜13 年です。

特徴は勇敢です、警戒心が強いです、決意が固いです。

適度な運動が必要です。
不明
不明
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Small Munsterlander,20.5-21 inches,40-60 pounds,12 to 14 years,"Intelligent, Devoted, Self-Confident",Occasional Bath/Brush,Seasonal,Needs Lots of Activity,Agreeable,Friendly,"Small Munsterlanderは犬種です。

体高は20.5〜53.3cmです。
体重は40〜27.2kgです。
寿命は12 〜 14 年です。

特徴は知的です、献身的です、自信に満ちています。

非常に活発で、多くの運動や遊びが必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Smooth Fox Terrier,15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,"Friendly, Independent, Amusing",Weekly Brushing,Occasional,Energetic,Agreeable,Friendly,"Smooth Fox Terrierは犬種です。

体高は15½ inchesです。
体重は8.2kg (オス)、 15〜17 (メス)です。
寿命は12〜15 年です。

特徴は友好的です、独立心が強いです、面白いです。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Soft Coated Wheaten Terrier,"18-19 inches (male), 17-18 inches (female)","35-40 pounds (male), 30-35 pounds (female)",12-14 years,"Friendly, Happy, Deeply Devoted",2-3 Times a Week Brushing,Infrequent,Energetic,Independent,Alert/Responsive,"Soft Coated Wheaten Terrierは犬種です。

体高は18〜48.3cm (オス)、 17〜45.7cm (メス)です。
体重は35〜18.1kg (オス)、 30〜15.9kg (メス)です。
寿命は12〜14 年です。

特徴は友好的です、明るいです、深く献身的です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
抜け毛は少ないです。"
Spanish Mastiff,Minimum 28-35 inches,140-200 pounds,10-12 years,"Affectionate, Intelligent, Kind",,Seasonal,Calm,,,"Spanish Mastiffは犬種です。

体高は以上 28〜88.9cmです。
体重は140〜90.7kgです。
寿命は10〜12 年です。

特徴は愛情深いです、知的です、親切です。

落ち着いています。
不明
不明
不明
換毛期には抜け毛が増えます。"
Spanish Water Dog,"17.5-19.75 inches (male), 15.75-18 inches (female)","40-49 pounds (male), 31-40 pounds (female)",12-14 years,Playful but also Work-Oriented. Very Active and Upbeat.,Specialty/Professional,Infrequent,Energetic,Eager to Please,Reserved with Strangers,"Spanish Water Dogは犬種です。

体高は17.5〜50.2cm (オス)、 15.75〜45.7cm (メス)です。
体重は40〜22.2kg (オス)、 31〜18.1kg (メス)です。
寿命は12〜14 年です。

特徴は遊び心がありながらも仕事熱心です、非常に活動的で明るいです。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
専門的な手入れやプロによるトリミングが必要です。
抜け毛は少ないです。"
Spinone Italiano,"23-27 inches (male), 22-25 inches (female)",,10-12 years,"Sociable, Patient, Docile",Weekly Brushing,,Energetic,Agreeable,Alert/Responsive,"Spinone Italianoは犬種です。

体高は23〜68.6cm (オス)、 22〜63.5cm (メス)です。
体重は不明です。
寿命は10〜12 年です。

特徴は社交的です、忍耐強いです、従順です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
不明"
Stabyhoun,19-21 inches,40-60 pounds,13-15 years,"Intelligent, Responsive, Loving",Occasional Bath/Brush,Seasonal,Energetic,Easy Training,Alert/Responsive,"Stabyhounは犬種です。

体高は19〜53.3cmです。
体重は40〜27.2kgです。
寿命は13〜15 年です。

特徴は知的です、反応性が高いです、愛情深いです。

多くの運動を必要とします。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Staffordshire Bull Terrier,14-16 inches,"28-38 pounds (male), 24-34 pounds (female)",12-14 years,"Clever, Brave, Tenacious",Weekly Brushing,Occasional,Energetic,May be Stubborn,Friendly,"Staffordshire Bull Terrierは犬種です。

体高は14〜40.6cmです。
体重は28〜17.2kg (オス)、 24〜15.4kg (メス)です。
寿命は12〜14 年です。

特徴は賢いです、勇敢です、粘り強いです。

多くの運動を必要とします。
しつけには根気が必要です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Standard Schnauzer,"18.5-19.5 inches (male), 17.5-18.5 inches (female)","35-50 pounds (male), 30-45 pounds (female)",13-16 years,"Fearless, Smart, Spirited",2-3 Times a Week Brushing,Infrequent,Regular Exercise,Independent,Friendly,"Standard Schnauzerは犬種です。

体高は18.5〜49.5cm (オス)、 17.5〜47cm (メス)です。
体重は35〜22.7kg (オス)、 30〜20.4kg (メス)です。
寿命は13〜16 年です。

特徴は勇敢です、頭がいいです、活発です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
抜け毛は少ないです。"
Sussex Spaniel,13-15 inches,35-45 pounds,13-15 years,"Friendly, Merry, Even-Tempered",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Independent,Reserved with Strangers,"Sussex Spanielは犬種です。

体高は13〜38.1cmです。
体重は35〜20.4kgです。
寿命は13〜15 年です。

特徴は友好的です、愉快です、穏やかです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Swedish Lapphund,16-20 inches,30-45 pounds,12-14 years,"Playful, Intelligent, Lively",Weekly Brushing,Seasonal,Regular Exercise,May be Stubborn,Alert/Responsive,"Swedish Lapphundは犬種です。

体高は16〜50.8cmです。
体重は30〜20.4kgです。
寿命は12〜14 年です。

特徴は遊び好きです、知的です、陽気です。

適度な運動が必要です。
しつけには根気が必要です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Swedish Vallhund,"12.5-13.75 inches (male), 11.5-12.75 inches (female)",20-35 pounds,12-15 years,"Friendly, Energetic, Watchful",Occasional Bath/Brush,Seasonal,Needs Lots of Activity,Eager to Please,Friendly,"Swedish Vallhundは犬種です。

体高は12.5〜34.9cm (オス)、 11.5〜32.4cm (メス)です。
体重は20〜15.9kgです。
寿命は12〜15 年です。

特徴は友好的です、エネルギッシュです、用心深いです。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Taiwan Dog,17-20 inches,26-40 pounds,9-13 years,"Loyal, Versatile, Intelligent",Weekly Brushing,Seasonal,Needs Lots of Activity,Easy Training,Reserved with Strangers,"Taiwan Dogは犬種です。

体高は17〜50.8cmです。
体重は26〜18.1kgです。
寿命は9〜13 年です。

特徴は忠実です、多才です、知的です。

非常に活発で、多くの運動や遊びが必要です。
しつけは容易な傾向があります。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Teddy Roosevelt Terrier,8-15 inches,8-25 pounds,14-16 years,"Playful, Versatile, Intelligent",Weekly Brushing,Seasonal,Energetic,Eager to Please,Friendly,"Teddy Roosevelt Terrierは犬種です。

体高は8〜38.1cmです。
体重は8〜11.3kgです。
寿命は14〜16 年です。

特徴は遊び好きです、多才です、知的です。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Thai Ridgeback,20-24 inches,35-75 pounds,12-13 years,"Loyal, Independent, Agile",Occasional Bath/Brush,Seasonal,Energetic,Independent,Reserved with Strangers,"Thai Ridgebackは犬種です。

体高は20〜61cmです。
体重は35〜34kgです。
寿命は12〜13 年です。

特徴は忠実です、独立心が強いです、機敏です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Tibetan Mastiff,"minimum 26 inches (male), minimum 24 inches (female)","90-150 pounds (male), 70-120 pounds (female)",10-12 years,"Independent, Reserved, Intelligent",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"Tibetan Mastiffは犬種です。

体高は以上 66cm (オス)、 以上 61cm (メス)です。
体重は90〜68kg (オス)、 70〜54.4kg (メス)です。
寿命は10〜12 年です。

特徴は独立心が強いです、内気です、知的です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Tibetan Spaniel,10 inches,9-15 pounds,12-15 years,"Playful, Bright, Self-Confident",Weekly Brushing,Seasonal,Calm,Agreeable,Alert/Responsive,"Tibetan Spanielは犬種です。

体高は25.4cmです。
体重は9〜6.8kgです。
寿命は12〜15 年です。

特徴は遊び好きです、明るいです、自信に満ちています。

落ち着いています。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
